별점, 내용, 날짜, 좋아요, 싫어요
6, '노잼 . 직설적으로말하자면 오스카국뽕끼가 많다 .', '2021.03.20', 14, 4
6, '미국인 관객을 타겟으로 만든 영화. 한국인이 보기엔 너무 뻔함', '2021.03.10', 14, 4
8, '흠  머지?ㅠ 나만이해못하는건가ㅋ', '2021.03.04', 15, 5
10, '미나리가 가지는 의미와 가족에게 주는 의미 이러한 것들이 부족해서 가족영화로써는 좋은 것 같지만 시대적 배경과 같은 배경지식을 잘 모르는 상태에서 본다면 이해가 안되는 부분이 많았다. 그리고 감독의 경험에서 나온 ...', '2021.05.22', 16, 6
8, '스포일러가 포함된 감상평입니다. 감상평 보기', '2021.03.13', 16, 6
1, '오늘 영화관가서 보고 왔어요. 잔잔한 감동을 받았습니다.한 가지 근데 의문인건 데이빗 심장검진한 뒤에 도매점에서 납품 계약하고 돌아오려는데 한예리가 따로 스티븐 연을 불러서 실망했다고 얘기하잖아요? 어떤 점 때문에 ...', '2021.03.05', 18, 8
4, '몰입감이 있었고 인물들을 다 너무 잘 그려낸 작품. 아프면서도 가족들에게 폐끼치기 싫어하고 본의아니게 불을 내고는 먹먹하게 걸어가는 모습 우리 할머니 생각도 나고 마음이 아팠어요.', '2021.03.20', 19, 9
6, '요즘 떠들썩하게 유명한 영화라 넘 기대하시면 실망하실 수도 있어요 영상미가 예쁘고 잔잔하게 감동을 주는 가족영화예요 개인적으로는 스티븐연이 맞은 배역이아버지의 젊은 날을 보는 듯한 느낌이었어요..특히 입고 나오는 옷...', '2021.03.06', 20, 10
2, '다 알바인 거 같다...', '2021.03.24', 9, 0
2, '무슨 내용인지 모르겠어요 .. 의미 감동 다 없음', '2021.03.21', 9, 0
6, '재미교포들이나 감동할 영화같음.. 스티븐연 말투가 살짝 여태까지 날 미행한고야 같아서 넘 별로엿음', '2021.05.26', 10, 1
2, '난 상추가 불면중에 도움이 되는 줄 알았는데미나리야 말로 최고의 불면증 치료제인걸 이제야 알게됐다.', '2021.03.27', 10, 1
